Subject,Date,Session,Day,Trial,Left Path,Right Path,Path Taken,Notes
26,7/2/2013,33,Day 8,4,x,purple(0/2=2),right,
26,7/2/2013,33,Day 8,5,green(3),orange(2/4=4),right,
26,7/2/2013,33,Day 8,6,green(3),yellow(1),left,
26,7/2/2013,33,Day 8,7,purple(0/2=0),yellow(1),left,
26,7/2/2013,33,Day 8,8,yellow(1),purple(0/2=0),left,
26,7/2/2013,33,Day 8,9,yellow(1),green(3),right,
26,7/2/2013,33,Day 8,10,orange(2/4=4),purple(0/2=2),left,
26,7/3/2013,34,Day 1,1,orange(2/4=4),green(3),left,
26,7/3/2013,34,Day 1,2,yellow(1),purple(0/2=0),left,
26,7/3/2013,34,Day 1,3,x,orange(2/4=4),right,
26,7/3/2013,34,Day 1,4,purple(0/2=2),orange(2/4=2),right,
26,7/3/2013,34,Day 1,5,orange(2/4=2),purple(0/2=0),left,
26,7/3/2013,34,Day 1,6,yellow(1),green(3),right,
26,7/3/2013,34,Day 1,7,purple(0/2=2),yellow(1),left,
26,7/3/2013,34,Day 1,8,yellow(1),x,left,
26,7/3/2013,34,Day 1,9,green(3),orange(2/4=4),right,
26,7/3/2013,34,Day 1,10,green(3),yellow(1),left,
26,7/4/2013,35,Day 2,1,purple(0/2=0),orange(2/4=2),right,
26,7/4/2013,35,Day 2,2,purple(0/2=2),yellow(1),left,
26,7/4/2013,35,Day 2,3,x,green(3),right,
26,7/4/2013,35,Day 2,4,green(3),yellow(1),left,
26,7/4/2013,35,Day 2,5,purple(0/2=2),x,left,
26,7/4/2013,35,Day 2,6,green(3),orange(2/4=2),left,
26,7/4/2013,35,Day 2,7,orange(2/4=2),purple(0/2=2),left,
26,7/4/2013,35,Day 2,8,yellow(1),green(3),right,
26,7/4/2013,35,Day 2,9,yellow(1),purple(0/2=2),left,
26,7/4/2013,35,Day 2,10,orange(2/4=2),green(3),right,
26,7/5/2013,36,Day 3,1,green(3),yellow(1),left,
26,7/5/2013,36,Day 3,2,x,yellow(1),right,
26,7/5/2013,36,Day 3,3,yellow(1),purple(0/2=2),right,
26,7/5/2013,36,Day 3,4,purple(0/2=0),yellow(1),left,
26,7/5/2013,36,Day 3,5,orange(2/4=4),green(3),right,
26,7/5/2013,36,Day 3,6,yellow(1),green(3),right,
26,7/5/2013,36,Day 3,7,purple(0/2=2),orange(2/4=4),right,
26,7/5/2013,36,Day 3,8,green(3),orange(2/4=2),left,
26,7/5/2013,36,Day 3,9,green(3),x,left,
26,7/5/2013,36,Day 3,10,orange(2/4=4),purple(0/2=0),left,
26,7/8/2013,37,Day 4,1,orange(2/4=4),purple(0/2=2),right,
26,7/8/2013,37,Day 4,2,yellow(1),purple(0/2=0),left,
26,7/8/2013,37,Day 4,3,green(3),orange(2/4=4),right,
26,7/8/2013,37,Day 4,4,x,purple(0/2=0),right,
26,7/8/2013,37,Day 4,5,yellow(1),green(3),right,
26,7/8/2013,37,Day 4,6,orange(2/4=2),green(3),right,
26,7/8/2013,37,Day 4,7,green(3),yellow(1),left,
26,7/8/2013,37,Day 4,8,purple(0/2=0),orange(2/4=4),right,
26,7/8/2013,37,Day 4,9,purple(0/2=0),yellow(1),right,
26,7/8/2013,37,Day 4,10,orange(2/4=2),x,left,
26,7/9/2013,38,Day 5,1,yellow(1),purple(0/2=0),left,
26,7/9/2013,38,Day 5,2,purple(0/2=2),yellow(1),left,
26,7/9/2013,38,Day 5,3,yellow(1),x,left,
26,7/9/2013,38,Day 5,4,green(3),orange(2/4=4),left,
26,7/9/2013,38,Day 5,5,purple(0/2=2),orange(2/4=2),right,
26,7/9/2013,38,Day 5,6,yellow(1),green(3),right,
26,7/9/2013,38,Day 5,7,green(3),yellow(1),left,
26,7/9/2013,38,Day 5,8,x,orange(2/4=2),right,
26,7/9/2013,38,Day 5,9,orange(2/4=4),green(3),left,
26,7/9/2013,38,Day 5,10,orange(2/4=2),purple(0/2=0),left,
26,7/10/2013,39,Day 6,1,yellow(1),purple(0/2=2),left,
26,7/10/2013,39,Day 6,2,orange(2/4=2),green(3),right,
26,7/10/2013,39,Day 6,3,yellow(1),green(3),right,
26,7/10/2013,39,Day 6,4,x,green(3),right,
26,7/10/2013,39,Day 6,5,purple(0/2=0),x,left,
26,7/10/2013,39,Day 6,6,purple(0/2=0),orange(2/4=2),right,
26,7/10/2013,39,Day 6,7,orange(2/4=2),purple(0/2=2),left,
26,7/10/2013,39,Day 6,8,green(3),yellow(1),left,
26,7/10/2013,39,Day 6,9,green(3),orange(2/4=2),right,
26,7/10/2013,39,Day 6,10,purple(0/2=2),yellow(1),left,
26,7/11/2013,40,Day 7,1,yellow(1),purple(0/2=2),left,
26,7/11/2013,40,Day 7,2,green(3),orange(2/4=2),right,
26,7/11/2013,40,Day 7,3,purple(0/2=2),orange(2/4=4),right,
